,City,Yearly brutto salary (without bonus and stocks) in EUR,Age
0,Munich,80000.0,26.0
1,Berlin,80000.0,26.0
2,Berlin,120000.0,29.0
3,Berlin,54000.0,28.0
4,Berlin,62000.0,37.0
5,Berlin,76000.0,32.0
6,Berlin,57000.0,37.0
7,Berlin,65000.0,24.0
8,Berlin,56000.0,29.0
9,Berlin,95000.0,35.0
10,Hamburg,52500.0,32.0
13,Berlin,70000.0,34.0
14,Berlin,75000.0,28.0
15,Other cities,75000.0,31.0
16,Hamburg,60350.0,29.0
17,Berlin,78000.0,41.0
18,Berlin,60000.0,27.0
19,Berlin,80000.0,34.0
20,Berlin,103000.0,34.0
21,Berlin,100000.0,34.0
22,Berlin,65000.0,25.0
23,Berlin,69000.0,59.0
24,Berlin,70000.0,36.0
25,Berlin,80000.0,38.0
26,Berlin,75000.0,24.0
27,Berlin,47400.0,37.0
29,Berlin,70000.0,40.0
30,Berlin,85000.0,29.0
31,Berlin,65000.0,31.0
32,Berlin,45000.0,29.0
33,Berlin,80000.0,39.0
34,Berlin,63000.0,27.0
35,Berlin,150000.0,33.0
36,Berlin,45000.0,28.0
37,Berlin,80000.0,30.0
38,Berlin,75000.0,28.0
39,Berlin,70000.0,38.0
40,Berlin,72000.0,29.0
41,Berlin,67000.0,49.0
42,Berlin,105000.0,32.0
43,Berlin,88000.0,33.0
44,Berlin,74000.0,30.0
45,Berlin,75000.0,48.0
46,Berlin,60000.0,28.0
47,Berlin,77000.0,32.0
48,Berlin,70000.0,38.0
49,Berlin,76000.0,31.0
50,Berlin,75000.0,35.0
51,Berlin,45000.0,28.0
52,Berlin,60000.0,29.0
